Target,Model,Model Class,Scored Rows,RMSE,MAE,MASE,MAPE,Directional Accuracy,sMAPE
lithium_carbonate,ARIMA,Single,136,3612.1969762011663,1827.0413272199648,0.9131824478885419,1.434801080592123,69.62962962962963,1.4571861917460458
lithium_carbonate,CEEMDAN-ARIMA,Decomposition,136,3623.546852590432,1436.918324663975,0.7181931648635193,1.1156907825767655,77.03703703703704,1.1552646760235936
lithium_carbonate,CEEMDAN-LSTM,Decomposition,136,3385.6720906626892,2193.4134880514707,1.0963007067269472,1.8925975552833114,76.29629629629629,1.889435172422765
lithium_carbonate,ELM,Single,136,41457.76667988726,34950.972660762425,17.469016324335154,36.014702456594996,58.51851851851851,28.294164534889255
lithium_carbonate,ES,Single,136,200226.2913796477,180239.9823161551,90.08662574113636,165.21934903799232,54.074074074074076,86.49981501337771
lithium_carbonate,LSTM,Single,136,11222.012574333778,9516.7431640625,4.756609874670259,9.55899267662828,54.81481481481482,9.036027611854983
lithium_carbonate,MLP,Single,136,45712.400168845175,37502.129447863124,18.744122456355125,40.06091926027195,48.148148148148145,30.610717002668896
lithium_carbonate,Proposed VMD-LASSO-ARIMA/LSTM,Decomposition,136,3672.3029939622065,2086.166593128186,1.0426971124483708,1.8358521069332139,76.29629629629629,1.8734497936003216
lithium_carbonate,RF,Single,136,5380.321225484166,3231.2769607843143,1.6150403173116707,2.546769481763271,72.5925925925926,2.5943884658594696
lithium_carbonate,Random Walk,Robustness,136,3497.383475753065,1991.1764705882354,0.9952196354291435,1.5285406511042794,74.81481481481481,1.537314951720337
lithium_carbonate,SVR,Single,136,24629.999227998967,18864.57116191918,9.428793435242829,21.873504373304023,56.2962962962963,18.247640197050817
lithium_carbonate,VMD-ARIMA,Decomposition,136,8886.612795927951,7428.780317064604,3.7130149678034843,7.360129181442511,68.88888888888889,7.357466138887498
lithium_carbonate,VMD-LSTM,Decomposition,136,5592.2187440464495,3718.509708180147,1.8585664961285435,3.013526607294604,74.81481481481481,3.061986155442221
lithium_hydroxide,ARIMA,Single,141,0.6437186196795485,0.23949489940472768,1.3159060406780871,1.7612830316079888,29.28571428571429,1.9201320241311932
lithium_hydroxide,CEEMDAN-ARIMA,Decomposition,141,0.4466586473929143,0.19938874121823918,1.0955425341601301,1.5404328001735201,37.857142857142854,1.6595666295657545
lithium_hydroxide,CEEMDAN-LSTM,Decomposition,141,0.6156670078178812,0.40432332072697647,2.2215567072788738,3.4444237109949114,39.285714285714285,3.4331473904336525
lithium_hydroxide,ELM,Single,141,0.6541563608495136,0.257310455247888,1.413793710145463,1.712279215393386,28.57142857142857,1.787170544712809
lithium_hydroxide,ES,Single,141,4.894773821800147,3.371968303517483,18.52729837087339,21.474634943040112,35.0,26.450894133493353
lithium_hydroxide,LSTM,Single,141,0.7219992784392616,0.4667647839268895,2.5646416699138737,3.460421402128681,30.714285714285715,3.4576964462842517
lithium_hydroxide,MLP,Single,141,0.6765921938815382,0.45886599502258096,2.5212417308794497,3.5181179658914687,35.0,3.538348198182173
lithium_hydroxide,Proposed VMD-LASSO-ARIMA/LSTM,Decomposition,141,0.536034423421323,0.2986059633081906,1.640692106079945,2.298252100337543,41.42857142857143,2.411381060908203
lithium_hydroxide,RF,Single,141,1.3033499002743083,0.8864125599459665,4.870398680995034,6.006327516117124,37.142857142857146,5.76210449813843
lithium_hydroxide,Random Walk,Robustness,141,0.5496001125254101,0.181063829787234,0.9948562076166989,1.1922744558908598,41.42857142857143,1.2407706404087389
lithium_hydroxide,SVR,Single,141,0.7059681579606527,0.5847396864785734,3.21285542019429,4.945994209758516,38.57142857142858,4.83425274685514
lithium_hydroxide,VMD-ARIMA,Decomposition,141,0.4731412609949475,0.24503173782968285,1.3463282298260253,1.9151476044937654,44.285714285714285,2.027692435270174
lithium_hydroxide,VMD-LSTM,Decomposition,141,0.6450376949041612,0.42853911244277415,2.3546105079143937,3.2225848495726406,44.285714285714285,3.1917492137860055
